	EffectiveMass
0	1.9235565185546948
1	1.923524780273445
2	1.9234301757812573
3	1.9238031005859448
4	1.9238073730468825
5	1.923839721679695
6	1.9236901855468822
7	1.9235540771484447
8	1.9235229492187575
9	1.9236340332031323
10	1.9236407470703198
11	1.9237530517578199
12	1.9234387207031325
13	1.9236419677734449
14	1.92363342285157
15	1.9234936523437574
16	1.9237872314453202
17	1.9238073730468825
18	1.92389953613282
19	1.9235266113281324
20	1.9239721679687576
21	1.9241113281250073
22	1.9235699462890699
23	1.9235937500000073
24	1.9236511230468822
25	1.9231689453125074
26	1.92359436035157
27	1.92342590332032
28	1.9238208007812574
29	1.9237194824218822
30	1.92356018066407
31	1.9237756347656327
32	1.9240478515625075
33	1.9237219238281322
34	1.9236157226562574
35	1.9233843994140702
36	1.9236199951171948
37	1.9235900878906322
38	1.92349914550782
39	1.9236181640625074
40	1.9237371826171947
41	1.9233843994140702
42	1.923724365234382
43	1.9238403320312574
44	1.9233081054687577
45	1.9237237548828197
46	1.9239862060546948
47	1.9232470703125073
48	1.9235699462890699
49	1.9237658691406325
50	1.9237145996093823
51	1.9237518310546948
52	1.9233361816406325
53	1.9237084960937572
54	1.9241479492187574
55	1.9236639404296947
56	1.9236700439453198
57	1.9239599609375073
58	1.92384094238282
59	1.923786010742195
60	1.923829956054695
61	1.9238720703125076
62	1.9234387207031325
63	1.9237335205078199
64	1.923237304687507
65	1.92353820800782
66	1.9237969970703201
67	1.923541870117195
68	1.9236621093750073
69	1.9237280273437571
70	1.9233825683593826
71	1.92342590332032
72	1.9238757324218825
73	1.9239752197265698
74	1.9236242675781323
75	1.9235540771484447
76	1.9236090087890698
77	1.9235198974609449
78	1.92339416503907
79	1.9236743164062573
80	1.9236108398437572
81	1.9242980957031326
82	1.9239697265625075
83	1.9235089111328199
84	1.9236090087890698
85	1.9233544921875074
86	1.9236199951171948
87	1.9235290527343822
88	1.9239184570312573
89	1.9235974121093824
90	1.9236779785156324
91	1.9235412597656325
92	1.9241015625000073
93	1.9239508056640702
94	1.9238525390625076
95	1.92351135253907
96	1.9236633300781323
97	1.9236267089843821
