	Correlator	Error
0	1.2415116084736906e-13	1.3957640690695728e-15
1	1.642261097344773e-13	1.4378927715166195e-15
2	3.602216014734593e-14	3.045098351330654e-16
3	1.1319897009141884e-14	9.845364003913407e-17
4	3.682962604121395e-15	3.4059979374934786e-17
5	1.2248060268131865e-15	1.1223280151162938e-17
6	4.090975140857592e-16	3.867670570138825e-18
7	1.3801409837512403e-16	1.3584339172039755e-18
8	4.6775732845552116e-17	4.927322536849401e-19
9	1.582284632575509e-17	1.7302680156085042e-19
10	5.385149086439823e-18	6.188343259678561e-20
11	1.8373686142975295e-18	2.2279084643288754e-20
12	6.2634504459602045e-19	8.05461505720988e-21
13	2.1628881690006603e-19	2.916374258042906e-21
14	7.286343445143462e-20	1.0587177832991855e-21
15	2.482360205136411e-20	3.964022922115989e-22
16	8.520875826853165e-21	1.4819650731923243e-22
17	2.826817833993711e-21	5.2570667180673014e-23
18	9.68852913999457e-22	2.0574610867631981e-23
19	3.336753611905525e-22	7.994662530250436e-24
20	1.1573303279294163e-22	3.0100583803841788e-24
21	3.9404707101334236e-23	1.142276631480105e-24
22	1.3257779273777937e-23	4.346925986032041e-25
23	4.53273717396294e-24	1.6993869356385935e-25
24	1.5205921109726892e-24	6.775725774552274e-26
25	5.052272539891117e-25	2.591108489957032e-26
26	1.6751028540309378e-25	1.0322696325357157e-26
27	5.58659067934985e-26	3.985710186203339e-27
28	1.91371896637167e-26	1.6098992810278346e-27
29	5.7251340096590155e-27	6.472330263989562e-28
30	1.9812668214191768e-27	2.6124129589968083e-28
31	7.198637291565766e-28	1.202013679062612e-28
32	3.9363245805202144e-28	9.038719298245795e-29
