	EffectiveMass
0	1.106386108398441
1	1.106508789062504
2	1.1065423583984413
3	1.1063342285156288
4	1.1064617919921913
5	1.1065368652343788
6	1.1064178466796912
7	1.1063983154296912
8	1.1064312744140667
9	1.1063568115234412
10	1.1063751220703162
11	1.1063940429687538
12	1.106564941406254
13	1.1062646484375036
14	1.1063745117187538
15	1.1064068603515662
16	1.1064569091796914
17	1.1064031982421914
18	1.1064312744140667
19	1.1064965820312538
20	1.1063574218750036
21	1.106489257812504
22	1.1063531494140664
23	1.1065460205078166
24	1.106483154296879
25	1.1064215087890665
26	1.1063452148437536
27	1.1063562011718786
28	1.1063745117187538
29	1.1064984130859412
30	1.1065155029296914
31	1.106349487304691
32	1.106422119140629
33	1.106456298828129
34	1.1064886474609414
35	1.106386108398441
36	1.106503906250004
37	1.1064520263671915
38	1.1065588378906288
39	1.1063513183593787
40	1.1065209960937539
41	1.106428222656254
42	1.1065515136718789
43	1.1063732910156288
44	1.1064495849609415
45	1.1064031982421914
46	1.106503906250004
47	1.1065374755859412
48	1.1064331054687542
49	1.106427001953129
50	1.1064587402343788
51	1.1063824462890661
52	1.106589355468754
53	1.1064495849609415
54	1.1065093994140667
55	1.1064593505859412
56	1.1062890625000037
57	1.106388549804691
58	1.1064514160156291
59	1.1064971923828164
60	1.1063317871093787
61	1.106428222656254
62	1.1064068603515662
63	1.1064312744140667
64	1.106425781250004
65	1.1063458251953162
66	1.106388549804691
67	1.1064202880859413
68	1.1063818359375035
69	1.106463623046879
70	1.106475830078129
71	1.1063977050781288
72	1.106486816406254
73	1.106502685546879
74	1.1064984130859412
75	1.1063360595703162
76	1.1064715576171915
77	1.1064135742187537
78	1.106446533203129
79	1.106442871093754
80	1.1065393066406288
81	1.1063085937500037
82	1.1064593505859412
83	1.106388549804691
84	1.106445312500004
85	1.1064526367187542
86	1.1065692138671914
87	1.1064776611328164
88	1.1063970947265664
89	1.1063952636718788
90	1.1063848876953162
91	1.106420898437504
92	1.1064813232421913
93	1.1063983154296912
94	1.106553955078129
95	1.1064996337890665
96	1.1064923095703165
97	1.1064508056640667
98	1.106424560546879
99	1.1064587402343788
100	1.1066491699218788
101	1.1063482666015663
102	1.1064770507812538
103	1.106422119140629
104	1.1064776611328164
105	1.1063830566406285
106	1.1063879394531286
107	1.1064447021484414
108	1.1065185546875038
109	1.106665039062504
110	1.1063977050781288
111	1.1064196777343789
112	1.1065417480468789
113	1.1064184570312539
114	1.1063488769531287
115	1.1064056396484414
116	1.106467285156254
117	1.1064544677734416
118	1.1063793945312534
119	1.106501464843754
120	1.106484375000004
121	1.1064520263671915
122	1.1065496826171914
123	1.1064086914062536
124	1.106429443359379
125	1.1063928222656287
126	1.1064965820312538
127	1.106455078125004
128	1.1064007568359413
129	1.106512451171879
130	1.1064630126953166
131	1.1063781738281286
132	1.106423339843754
133	1.106507568359379
134	1.1063879394531286
135	1.1064263916015666
136	1.1064678955078167
137	1.1064495849609415
138	1.106436767578129
139	1.1064080810546912
140	1.106483154296879
141	1.1064422607421913
142	1.1065002441406289
143	1.1063732910156288
144	1.1065155029296914
145	1.1064251708984414
146	1.1064569091796914
147	1.1064605712890665
148	1.1063916015625037
149	1.106427001953129
150	1.1063848876953162
151	1.1064178466796912
152	1.1064996337890665
153	1.1064575195312538
154	1.1064080810546912
155	1.1065173339843788
156	1.1064593505859412
157	1.106388549804691
158	1.1065692138671914
159	1.1064447021484414
